,tgt,label,node1,node2,nodes,ctx
10,"Moisander zögert zu lange mit dem Abschluss , spielt stattdessen zu Kruse , der aus der Drehung feuert .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 4 8,1 1 3 3 5 5 7 7,Moisander zögern Abschluss spielen Kruse zögern lang feuern Drehung,ticker
11,"Latka lenkte das Leder , das weit am Tor vorbeiflogen wäre , am Elfmeterpunkt ins eigene Netz .",A0 A1 A0 A1 A0 A1,0 2 0 4 4 6,1 1 3 3 5 5,Latka lenken ledern sein weit am Tor,report
12,Nach einem starken Anspiel von Matip nahm Lex völlig frei im Strafraum den Ball an und setzte ihn per Volley ins linke Toreck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 4 3,1 1 3 3 5 5 7 7 9 9 11 11,Lex annehmen ballen link Toreck stark Anspiel im Strafraum von Matip ins,report
13,"Erst traf Müller vom Punkt , nachdem er von Prödl direkt an der Strafraumgrenze gefoult worden war .",A0 A1,0 2,1 1,Müller treffen Punkt,report
14,"Tolles Solo von Kostic , der Schär halblinks austanzt und vom rechten Fünfereck mit seinem starken linken Fuß flach ins rechte Eck einschießt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 2 12 2 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,Kostic einschießen Fünfereck einschießen fußen einschießen Eck fußen flachen vom recht stark link ins rechte,ticker
15,"Volland legte nach dem Gegenstoß im Strafraum von der rechten Seite zurück , im Zentrum nahm Brandt ab und traf flach ins Eck .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 2 12 4 14 6 16,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,Volland zurücklegen Gegenstoß abnehmen Zentrum treffen Eck im Strafraum der recht recht Seite nehmen Brandt treffen flachen,report
16,Huntelaar schnürt einen Doppelpack :,A0 A1,0 2,1 1,Huntelaar schnüren Doppelpack,ticker
17,Harnik verwandelte das Zuspiel des Russen in der Mitte zum 1:3 .,A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,Harnik verwandeln Zuspiel der Russe der Mitte,report
18,"Johnson schlägt einen Haken , lässt Kim und Süle ins Leere grätschen und nagelt die Kugel unter die Latte .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,Süle nageln kugeln der Latte,ticker
19,Fritz fälschte den Schuss von Petric in der Mauer unhaltbar für Wiese ins eigene Tor ab .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,Fritz abfälschen Schuss von Petric der mauern für weisen eigene Tor,report
20,Ribery lässt Reinhardt mit einer Finte schlecht aussehen und trifft aus acht Metern mit links flach ins rechte Eck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 4 10 4 12 4 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,Ribery lässt Reinhardt treffen Meter treffen Eck einer Finte links flachen meter acht ins rechte,ticker
21,"Abdellaoue legte 25 Meter vor dem Tor kurz ab auf Rausch , der den Ball geschickt mitnahm , an Matip vorbeizog und allein vor Neuer die Nerven behielt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 11 13 11 15 11 17 17 19,1 1 3 3 5 5 7 7 9 9 12 12 14 14 16 16 18 18,Abdellaoue legen Meter legen Tor legen Rausch tor kurz meter 25 rauschen mitnehmen ballen vorbeizog Matip behalten Nerv vor Neuer,report
22,"Nach einem Angriff über links scheitert Meier zunächst noch im ersten Anlauf an Horn , überwindet diesen dann aber im Nachschuss aus spitzem Winkel .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 10 12 10 14 10 16,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,Meier scheitern Angriff scheitern Anlauf über links im erst an Horn im Nachschuss aus spitz spitz winkeln,ticker
23,Rupp behält vor Weidenfeller die Ruhe und netzt zum 1:2 ein .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Rupp behalten Ruhe vor Weidenfeller,ticker
24,"Sané chipt das Spielgerät , das von Harnik entscheidend abgefälscht wird , in den Strafraum .",A0 A1,0 2,1 1,Sané chipt Spielgerät,ticker
25,"Hrgota legt die Kugel in den Lauf von Hanke , der an der rechten Strafraumecke trocken abzieht .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 6 8 8 10,1 1 3 3 5 5 7 7 9 9,Hrgota legen kugeln der laufen von Hanke abziehen Strafraumecke der recht,ticker
26,Riether netzte aus drei Metern ein .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Riether einnetzte Meter meter drei,report
27,"Müller nimmt das Leder direkt , Oczipka wird kurz vor der Torlinie noch angeschossen , ehe Müller den Ball im zweiten Versuch locker mit dem Knie über die Linie drückt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 4 6 4 8 4 10 6 5,1 1 3 3 5 5 7 7 9 9 11 11,Müller nehmen ledern drücken ballen zweit versuchen der Knie der Linie im,ticker
28,"Verhaegh zieht von der Strafraumgrenze ab , De Blasis wirft sich in einem Meter Entfernung mit dem Rücken zum Tor in den Schuss , den er an die Hand bekommt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 3 7 5 9 5 11 5 13 5 15 5 17 7 19,1 1 4 4 6 6 8 8 10 10 12 12 14 14 16 16 18 18,Verhaegh abziehen Strafraumgrenze De werfen sich bekommen De_Blasis einer Meter der Rücken meter Entfernung zum Tor der Schuss der Hand,ticker
29,Hummels verwandelte eine Ecke von Gündogan aus acht Metern per Flugkopfball und verkürzte so auf 1:2 .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 6 5,1 1 3 3 5 5 7 7 9 9,Hummels verwandeln Ecke von Gündogan acht Meter per Flugkopfball aus,report
30,Die Flanke des Brasilianers verwandelte der Mainzer Koo im Zentrum sträflich ungedeckt zum 2:2 .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Flanke verwandeln Zentrum verwandeln Koo,report
31,"Pospech legt zurück , Geis flankt hinter die Abwehr und Choupo-Moting schließt sicher ab .",A0 A1,0 2,1 1,Geis flanken Abwehr,ticker
32,"Max leitet einen langen Ball per Kopf in den Lauf von Bobadilla , der alleine vor Mickel auftaucht und diesem nicht den Hauch einer Chance lässt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 8 10 8 12 12 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,Max leiten ballen per Kopf der laufen von Bobadilla auftauchen Mickel lässt hauchen einer Chance,ticker
33,Okazaki netzt aus acht Metern freistehend mit Links ein .,A0 A1 A0 A1 A0 A1,0 2 0 4 2 6,1 1 3 3 5 5,Okazaki einnetzt Meter einnetzt Links meter acht,ticker
34,"Kraft faustet die folgende Ecke genau vor die Füße von Boka weg , der aus 18 Metern einfach mal drauf hält und das Leder dann in die Maschen schweißt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 8 10 8 12 12 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,Kraft wegfausten Ecke der Fuß meter 18 von Boka halten Meter schweißen ledern der Masche,ticker
35,"Aber was für eine überragende Eckball-Variante der Eintracht : Willems tritt das Leder mit viel Wucht flach an die Strafraumgrenze , wo sich keiner für den heranrauschenden Wolf zuständig fühlt .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,kein fühlen sich heranrauschenden Wolf,ticker
36,Nach Rensings Abschlag und Matuschyks Kopfballverlängerung enteilt Novakovic Badstuber und schießt frei vor Kraft links am Keeper vorbei zur Führung ein .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 4 10 4 12,1 1 3 3 5 5 7 7 9 9 11 11,Novakovic enteilen Abschlag einschießen Kraft einschießen Führung abschlag Rensings kraft links am Keeper,ticker
37,"Blaszczykowski steckte für den kreuzenden Reus in den Strafraum durch , der noch einmal quer zum mitgelaufenen Kagawa legte .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 6 8,1 1 3 3 5 5 7 7,Blaszczykowski durchstecken Reus durchstecken Strafraum legen Kagawa einmal quer,report
38,"Eine Ecke von Vrancic flippert in der Spielertraube über Kamavuaka und Diekmeier vor die Füße von Sulu , der aus fünf Metern zum 1:0 trifft .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 2 12 10 14 14 16 14 18,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 17 17,Vrancic flippern Ecke flippern Spielertraube flippern Fuß über Kamavuaka von Sulu und Diekmeier treffen Meter meter fünf zum 1:0,ticker
39,"Kolasinac ist auf der linken Seite frei durch , an der Grundlinie behält er die Übersicht und legt zu Bentaleb zurück .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 4 10,1 1 3 3 5 5 7 7 9 9,Kolasinac durchsein Seite behalten Übersicht zurücklegen Bentaleb der link der Grundlinie,ticker
40,Wenig später nutzte Mandzukic Zielers Patzer per Kopf zum 0:4 .,A0 A1,0 2,1 1,Patzer nutzen Kopf,report
41,Kainz zieht in die Mitte und will Junuzovic anspielen .,A0 A1 A0 A1,0 2 0 4,1 1 3 3,Kainz ziehen Mitte wollen Junuzovic,ticker
42,"Derdiyok verlängert per Hacke , und Kießling kommt vor Simunic mit der Fußspitze an den Ball .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 3 7 3 9,1 1 4 4 6 6 8 8,Derdiyok verlängern Hacke Kießling kommen Simunic kommen Fußspitze kommen ballen,ticker
43,So aber stellte Aranguiz per Strafstoß   den alten Abstand wieder her .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Aranguiz herstellen abstehen per Strafstoß,report
44,Am langen Pfosten lauerte Fürstner und markierte den Ausgleich .,A0 A1 A0 A1,0 2 0 4,1 1 3 3,Fürstner lauern Pfosten markieren Ausgleich,report
45,"Hosogai köpft genau zentral an die Strafraumgrenze , wo Christian Schulz steht .",A0 A1,0 2,1 1,Hosogai köpfen Strafraumgrenze,ticker
46,Abermals nur zwei Minuten später verwertete Okazaki Boulahrouz ?,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Okazaki verwerten Minute minute zwei,report
47,"Castro drischt den Ball von rechts gekonnt volley zurück in den Strafraum , wo Kießling gegen die auf Abseits spekulierende Abwehr per Flugkopfball ins linke Eck vollendet !",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 9 11 9 13 11 15 11 17 11 19,1 1 3 3 5 5 7 7 10 10 12 12 14 14 16 16 18 18,Castro zurückdreschen ballen von rechts können volley der Strafraum Kießling vollenden Abwehr vollenden Eck auf Abseits per Flugkopfball ins link,ticker
48,"Van der Vaart flankt butterweich in die Mitte , wo Lasogga hochsteigt und gekonnt hoch ins linke Eck einnickt .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 5 7 5 9,1 1 4 4 6 6 8 8,Van flanken Mitte Lasogga einnickt Eck können hoch ins link,ticker
49,"Russ spielte einen vertikalen Pass durch die Schnittstelle der Kölner Abwehr in den Lauf von Castaignos , der frei vor Horn auftauchte und aus zwölf Metern cool zum 2:0 einschob .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 10 12 10 14 14 16,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,Russ spielen Pass der Schnittstelle der laufen kölner Abwehr von Castaignos auftauchen Horn einschieben Meter meter zwölf,report
50,Ya Konan steigt an der Fünferlinie hoch und köpft zum 2:1 ein .,A0 A1,0 2,1 1,Ya hochsteigen Fünferlinie,ticker
51,Erst war der Kroate nach Zuspiel von Landsmann Olic am zweiten Pfosten zur Stelle .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,Kroate sein Zuspiel sein Pfosten sein stellen von Olic am zweit,report
52,Lewandowski verarbeitet den Ball elelgant und schweißt ihn schließlich sicher rechts unten ins Eck .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8,1 1 3 3 5 5 7 7,Lewandowski elelgant ballen schweißen rechts schweißen unten ins Eck,ticker
53,"Im Zentrum kommt der Ball über Eggestein zu Gebre Selassie , der trifft aus kurzer Distanz mit Hilfe der Unterlatte ins Tor .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 7 9 9 11 9 13 9 15 9 17,1 1 3 3 5 5 8 8 10 10 12 12 14 14 16 16,ballen kommen Zentrum über Eggestein zu Gebre_Selassie Gebre treffen Distanz aus kurz mit Hilfe der Unterlatte ins Tor,ticker
54,"Casteels kann zunächst noch parieren , beim Nachschuss von Raffael ist der Keeper aber machtlos Gladbach !",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8,1 1 3 3 5 5 7 7,Casteels können Keeper können Gladbach beim Nachschuss von Raffael,ticker
55,"Guerrero bewies am Strafraumrand Übersicht und bediente rechts Sala , der per Aufsetzer volley ins linke Toreck das sehenswerte 1:0 für die Hamburger erzielte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 4 8 4 10 10 12 10 14 10 16 10 18 16 15,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 17 17 19 19,Guerrero beweisen Übersicht bedienen Sala am Strafraumrand bedienen rechts erzielen 1:0 per Aufsetzer erzielen volley link Toreck der Hamburger ins,report
56,Während Milik noch an Casteels und dem Pfosten scheitert macht es Reinartz besser und versenkt die Kugel trocken im Tor .,A0 A1 A0 A1 A0 A1,0 2 0 4 4 6,1 1 3 3 5 5,Reinartz machen ich versenken kugeln im Tor,ticker
57,"Er versuchte den Direktschuss , traf zwar nicht voll , doch der Querschläger erreichte Mkhitaryan , der ihn zum vierten Dortmunder Treffer ins Netz drückte .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 5 7 5 9,1 1 4 4 6 6 8 8,ich versuchen Direktschuss Querschläger erreichen Mkhitaryan dortmunder Treffer ins Netz,report
58,"Herdling spielt einen Sahnepass auf Roberto Firmino , der sich an Dante und Rafinha vorbeimogelt und von der Strafraumgrenze ins rechte Eck trifft .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 5 7 5 9 5 11 7 13 7 15 9 17,1 1 3 3 6 6 8 8 10 10 12 12 14 14 16 16,Herdling spielen Sahnepass auf Roberto_Firmino Roberto vorbeimogelt sich treffen Strafraumgrenze treffen Eck an Dante und Rafinha ins rechte,ticker
59,"Die Freistoßflanke von Pander aus dem linken Halbfeld segelte ans rechte Fünfereck , wo Neuzugang Felipe vollkommen unbehelligt per Aufsetzer ins lange Eck köpfte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 5 7 5 9 7 11,1 1 3 3 6 6 8 8 10 10,Freistoßflanke segeln Fünfereck ans rechte Felipe köpfen Aufsetzer köpfen Eck ins lang,report
60,Fink schnappt sich den Ball und zieht aus etwa 22 Metern ab .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 6 8,1 1 3 3 5 5 7 7,Fink schnappen sich schnappen ballen abziehen Meter meter 22,ticker
61,"Ostrzolek flankt vom linken Flügel perfekt nach innen , wo Joker Mölders völlig alleine gelassen wird , sich in die Luft schraubt und aus sechs Metern zum 1:3 einköpft .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 4 10,1 1 3 3 5 5 7 7 9 9,Ostrzolek flanken Flügel einköpft Meter nach innen vom link meter sechs,ticker
62,Ein Traumtor von Meier : An der linken Strafraumgrenze schnappt er sich einen weiten Flankenwechsel von Celozzi und zirkelt die Kugel in die rechte obere Ecke von Giefers Kasten .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 4 6 4 8 4 10,1 1 3 3 5 5 7 7 9 9,Meier schnappen Traumtor zirkeln kugeln obere Ecke der rechte kaste Giefers,ticker
63,Kroos enteilte Kollege Höwedes und schloss von halblinks mit einem platzierten Rechtsschuss aus 14 Metern ins rechte untere Eck ab .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 4 10 4 12 4 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,Kroos enteilen Kollege abschloss Rechtsschuss abschloss Eck kollege Höwedes von halblinks meter 14 ins rechte,report
64,"Also kommt Rosenthal aus sieben Metern zum Schuss , Leno kann nur nach vorne abklatschen lassen und kommt nicht mehr rechtzeitig hoch , sodass Wagner per Kopfball abstaubt .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 7 9,1 1 3 3 5 5 8 8,Rosenthal kommen Meter meter sieben zum Schuss Wagner abstauben Kopfball,ticker
65,"Der Eckball von Farfan flog in die Mitte , wo Huntelaar die beste Koordination bewies und vor Gegenpart Thorandt aus acht Metern mit Hilfe des Innenpfostens zum 2:0 einköpfte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 5 7 5 9 9 11 9 13 9 15 11 10,1 1 3 3 6 6 8 8 10 10 12 12 14 14 16 16,Farfan fliegen Eckball fliegen Mitte Huntelaar beweisen Koordination einköpfte Thorandt acht Meter mit Hilfe der Innenpfostens aus,report
66,"Barnetta flankt in die Mitte , wo Madlung und Zieler am Ball vorbeispringen .",A0 A1 A0 A1,0 2 3 5,1 1 4 4,Barnetta flanken Mitte Madlung vorbeispringen ballen,ticker
67,Akanji schickt Sancho auf der linken Außenbahn .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Akanji schicken Sancho der link,ticker
68,"Erste Ecke für Freiburg , und schon ist es passiert : Ginter von halblinks per Kopf in die Mitte , wo Krmas verlängert und Schuster per Fallrückzieher aus fünf Metern einnetzt .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 6 5,1 1 3 3 5 5 7 7,Ginter einnetzt Schuster per Fallrückzieher fünf Meter aus,ticker
69,Herrmann und Johnson bereiten am Strafraum mit einer schnellen Kombination für Kruse vor .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 7 2,1 1 3 3 5 5 8 8,Herrmann vorbereit Strafraum schnell Kombination für Kruse Johnson vorbereit,ticker
70,Johnson spielt vom rechten Flügel steil nach vorne an die Strafraumgrenze zu Roberto Firmino .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8,1 1 3 3 5 5 7 7,Johnson spielen Flügel spielen Strafraumgrenze vom recht zu Roberto_Firmino,ticker
71,Drei Meter vor dem Kasten bugsierte Felipe die Kugel vor dem einschussbereiten Aubameyang unglücklich ins eigene Tor .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,Felipe bugsieren kugeln drei Meter der Kaste einschussbereiten Aubameyang eigene Tor,report
72,"Über Sobiech und Sorg kam der Ball zu Kiyotake , der Karaman schließlich im Strafraum den Führungstreffer auflegte .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 4 8,1 1 3 3 5 5 7 7,ballen kommen Kiyotake auflegen Karaman auflegen Führungstreffer im Strafraum,report
73,"Nach kurzem Richtungswechsel legte Wolf das Spielgerät mit Auge nach halblinks zum freistehenden Fabian , der Leno ins rechte Toreck überwand .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 11 13 13 15,1 1 3 3 5 5 7 7 9 9 12 12 14 14,Wolf legen Spielgerät kurz Richtungswechsel mit Auge nach halblinks freistehend Fabian Leno überwinden Toreck ins rechte,report
74,"Nach einer kleinen Serie von Standardsituationen legt Goretzka halblinks im Strafraum mit dem Absatz zu Kehrer ab , der sofort abzieht und den Ball flach neben den kurzen Pfosten setzt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 2 12 12 14 14 16 14 18 18 17,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 17 17 19 19,Goretzka ablegen Serie ablegen Strafraum legen halblinks von Standardsituationen der Absatz zu Kehrer setzen ballen ballen flachen kurz Pfosten neben,ticker
75,"Bartels schießt sich den Frust komplett von der Seele , schiebt von rechts im Strafraum eiskalt ein .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 6 10,1 1 3 3 5 5 7 7 9 9,Bartels schießen sich schießen Frust einschieben Strafraum der Seele von rechts,ticker
76,"Raffael zieht von links am Strafraumrand nach innen und legt wieder zurück zum Arango , der den Ball aus etwa 23 Metern in halblinker Position wunder links in den Winkel schlenzt !",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 7 9 9 11 9 4 9 14 9 16 9 18 11 10,1 1 3 3 5 5 8 8 10 10 12 12 13 13 15 15 17 17 19 19,Raffael ziehen Strafraumrand von links nach innen Arango schlenzen ballen 23 Meter schlenzen der winkeln in halblinker halblinker Position aus,ticker
77,"Hummels steht nicht gut , Draxler nutzt das und jagt das Leder aus kurzer Distanz trocken in die Maschen .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 4 3,1 1 3 3 5 5 7 7,Draxler jagen ledern kurz Distanz der Masche aus,ticker
78,"Höger flankt aus dem Mittelfeld mit Gefühl nach links an den Strafraumrand zu Choupo-Moting , der den Ball gekonnt annimmt und dann mit links halbhoch genau ins rechte Toreck einschießt !",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 10 12 10 14 14 6 14 17,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 16 16,Höger flanken Mittelfeld flanken Gefühl nach links der Strafraumrand zu Choupo-Moting annehmen ballen einschießen Toreck mit ins rechte,ticker
79,Diekmeier hat Kobiashvili erneut düpiert und flankt ins Zentrum .,A0 A1,0 2,1 1,Diekmeier haben Kobiashvili,ticker
80,"Kadlec legt ab auf Schürrle , der , ebenfalls ohne Gegenspieler , einschießt .",A0 A1,0 2,1 1,Kadlec ablegen Schürrle,ticker
81,Asamoah legt den Ball mit dem Kopf ab für Takyi .,A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,Asamoah ablegen ballen der Kopf für Takyi,ticker
82,Boland steuert alleine auf Benaglio zu und legt das Leder zum mitgelaufenen Bellarabi .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Boland legen ledern mitgelaufen Bellarabi,ticker
83,"Brandt wuselt sich durch das zentral-offensive Mittelfeld und sieht , dass Alario in den Strafraum startet .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,Brandt wuseln sich zentral-offensive Mittelfeld,ticker
84,Müller wird steilgeschickt und läuft dann mutterseelenallein auf Zieler zu .,A0 A1,0 2,1 1,Müller zulaufen Zieler,ticker
85,"Geis flankte vom rechten Flügel auf das linke Fünfmeterraumeck , wo Zimling per Kopf zum 1:0 traf .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 9 11 9 13,1 1 3 3 5 5 7 7 10 10 12 12,Geis flanken Flügel flanken Fünfmeterraumeck vom recht der link Zimling treffen Kopf treffen 1:0,report
86,Wunderbar überlistet Zé Roberto die Bremer Abseitsfalle .,A0 A1,0 2,1 1,Zé überlisten Abseitsfalle,ticker
87,Djurdjic sprintet über den linken Flügel und flankt flach nach innen .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Djurdjic sprinten Flügel der link,ticker
88,"Der Ball bleibt heiß , Toprak legt zurück zu Tah , dessen Schuss noch abgeblockt wird , doch die Kugel landet im hohen Bogen bei Toprak , der in Bedrängnis irgendwie mit der Schulter vollendet !",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 4 6 4 8,1 1 3 3 5 5 7 7,kugeln landen Bogen bei Toprak vollenden Bedrängnis vollenden schultern,ticker
