,tgt,label,node1,node2,nodes,ctx
10,alaba war zur stelle und drückte den ball aus kurzer distanz über die linie .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 4 6 4 8 6 5,1 1 3 3 5 5 7 7 9 9,alaba sein stellen drücken ballen kurz distanz der linie aus,report
11,simons gewonnenes kopfballduell gegen niemeyer bringt esswein in ballbesitz.,A0 A1,0 2,1 1,kopfballduell bringen esswein,ticker
12,"feiner spielzug durchs mittelfeld , der ins 2:1 für die hausherren führt : keita legt die kugel zwischen die beiden innenverteidiger ginter und vestergaard .",A0 A1,0 2,1 1,der führen hausherren,ticker
13,esswein setzt sich auf der rechten außenbahn durch und schlägt den ball daraufhin in die gefahrenzone auf altintop .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 6 5 4 9,1 1 3 3 5 5 7 7 8 8,esswein durchsetzen sich schlagen ballen recht außenbahn auf der gefahrenzone,ticker
14,"ausgerechnet kruse , der im sommer aller voraussicht nach gladbach wechseln wird , wurde mit zu viel platz ausgestattet , trieb den ball richtung tor und verwandelte mit einem schuss ins torwarteck zum 1:0 .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,der verwandeln schuss ins torwarteck,report
15,nach feinem diagonalpass von hummels über die abwehr hinweg stoppte sich blaszczykowski halbrechts im sechzehner den ball und überwand ulreich aus acht metern .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 2 12 2 14 15 17 17 19,1 1 3 3 5 5 7 7 9 9 11 11 13 13 16 16 18 18,blaszczykowski stoppen sich stoppen ballen fein diagonalpass stoppen halbrechts im sechzehner von hummels der abwehr ulreich überwinden meter meter acht,report
16,nach sehenswertem doppelpass mit maxim traf gentner mit einem akkuraten schlenzer ins rechte toreck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,gentner treffen doppelpass treffen schlenzer treffen toreck mit maxim ins rechte,report
17,ronny hat raum und nimmt ordentlich tempo auf .,A0 A1 A0 A1,0 2 0 4,1 1 3 3,ronny haben raum aufnehmen tempo,ticker
18,nach einem katastrophenball von doulgas santos im eigenen strafraum nimmt latza aus 16 metern maß und befördert die kugel ins linke toreck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 2 12 6 14 14 13,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,latza nehmen katastrophenball nehmen meter befördern kugeln eigen strafraum meter 16 meter maßen link toreck ins,ticker
19,tiffert schickt ilicevic mit einem guten zuspiel los .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,tiffert losschicken ilicevic gut zuspiel,ticker
20,"feulner leitet zu kiyotake weiter , der drmic gekonnt in den sechzehner steilschickt .",A0 A1 A0 A1,0 2 0 4,1 1 3 3,feulner weiterleiten kiyotake steilschickt sechzehner,ticker
21,didavi trifft im sitzen aus acht metern in den rechten winkel !,A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8,1 1 3 3 5 5 7 7,didavi treffen sitz meter acht der recht recht winkeln,ticker
22,lewandowski wurde nicht attackiert und traf flach ins kurze eck .,A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,lewandowski treffen eck treffen flachen ins kurze,report
23,"erst hämmerte chicharito den ball an den pfosten , beim abpraller reagierte bellarabi geistesgegenwärtig und staubte zum ausgleich ab .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 5 7 5 9,1 1 3 3 6 6 8 8,chicharito hämmern ballen der pfosten bellarabi reagieren abpraller abstauben ausgleich,report
24,"nach einem einwurf am linken flügel von aogo startet höger einen unwiderstehlichen sololauf , lässt vier hoffenheimer stehen und tunnelt dann torwart casteels zum 3:1 .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 11 13 13 15,1 1 3 3 5 5 7 7 9 9 12 12 14 14,höger starten sololauf einer einwurf am link link flügel von aogo hoffenheimer tunnelt casteels zum 3:1,ticker
25,"mkhitaryan luchste jung den ball ab und sezierte die viererkette per zuckerpass auf aubameyang , der nur noch einzuschieben brauchte .",A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,jung sezieren viererkette per zuckerpass auf aubameyang,report
26,"piszczek hielt schürrle zu lange an der schulter , den fälligen elfmeter verwandelte rodriguez sicher zum 1:1 .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,piszczek halten schürrle verwandeln elfmeter verwandeln rodriguez halten lang der schultern,report
27,auf seiten der gäste geriet eine ablage von kruse auf den im fünfer völlig frei stehenden ebbers zu scharf .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,kruse geraten seite geraten ablage geraten ebbers der gast im fünfer,report
28,nach einem steilpass fackelt kießling im zentrum nicht lang und zieht ab .,A0 A1 A0 A1,0 2 0 4,1 1 3 3,kießling fackelt steilpass fackelt zentrum,ticker
29,lewandowski übernahm die verantwortung und verlud grün mit einem schuss ins linke eck .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8,1 1 3 3 5 5 7 7,lewandowski übernehmen verantwortung einer schuss ins link link eck,report
30,bentaleb übernimmt die verantwortung und schießt den ball humorlos ins linke eck .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 4 6 6 5,1 1 3 3 5 5 7 7,bentaleb übernehmen verantwortung schießen ballen link eck ins,ticker
31,"referee stark zeigt auf den punkt , huntelaar verwandelt sicher .",A0 A1,0 2,1 1,stark zeigen punkt,ticker
32,aus dem nichts das 2:2 ! stendera zirkelt einen freistoß aus dem halbfeld in richtung zweiter pfosten .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,stendera zirkeln freistoß der nichts der halbfeld in richtung zweit pfosten,ticker
33,"die kugel kracht gegen den querbalken und springt direkt in den lauf von werner , der mit dem kopf zur stelle ist und einnickt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 4 6 6 8 6 10,1 1 3 3 5 5 7 7 9 9,kugeln krachen querbalken springen laufen von werner sein kopf sein stellen,ticker
34,wieder glänzt konoplyanka als initiator .,A0 A1,0 2,1 1,konoplyanka glänzen initiator,ticker
35,nach einer schön vorgetragenen freistoßvariante erzielte diouf nach einer flanke von rausch mit der linken hacke das 2:0 .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 2 12,1 1 3 3 5 5 7 7 9 9 11 11,diouf erzielen 2:0 vorgetragen freistoßvariante einer flanke von rausch der link link hacke,report
36,"mehmedi wird mit einem starken pass auf die linke außenbahn geschickt , nimmt das leder sehenswert an .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,ledern annehmen werden werden mehmedi stark pass der link link außenbahn,ticker
37,"gentner schießt aus 20 metern zentraler position aufs tor , tschauner lässt den flachschuss schwach nach vorne abklatschen , wo asano völlig blank steht und zum 1:0 abstaubt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 11 13 13 15 15 17,1 1 3 3 5 5 7 7 9 9 12 12 14 14 16 16,gentner schießen meter schießen tor meter 20 meter zentral zentral position tschauner lässt flachschuss stehen asano abstauben 1:0,ticker
38,westermann hat auf rechts viel zu viel platz und flankt gut nach innen .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,westermann haben platzen auf rechts,ticker
39,müller steckt auf james durch .,A0 A1,0 2,1 1,müller durchstecken james,ticker
40,"besser machte es wenige sekunden später jojic , der mit einem schlenzer von der rechten strafraumseite kurz vor der pause auf 2:0 erhöhte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 6 12 6 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,ich machen jojic wenig sekunde erhöhen schlenzer erhöhen strafraumseite erhöhen pausen strafraumseite kurz der recht,report
41,lewandowski nimmt einen toller pass von rafinha von der mittellinie im rücken von marcelo mit der brust an und vollendet frei vor zieler per rechtsschuss aus 14 metern flach ins rechte eck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 2 12,1 1 3 3 5 5 7 7 9 9 11 11,lewandowski annehmen pass von rafinha der mittellinie im rücken von marcelo der brust,ticker
42,"nach lenos abschlag trifft westermann den ball nicht , und kießling hebt das leder aus 13 metern über adler hinweg ins netz .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 4 3 6 8 8 10 8 12 8 14 10 9,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,westermann treffen ballen lenos abschlag nach kießling heben ledern 13 meter ins netz über adler aus,ticker
43,zuber ist starker vorarbeiter für die führung :,A0 A1 A0 A1,0 2 0 4,1 1 3 3,zuber sein vorarbeiter sein führung,ticker
44,das volle risiko von arnold macht sich bezahlt .,A0 A1 A0 A1,0 2 0 4,1 1 3 3,arnold machen risiko bezahlen sich,ticker
45,"noch nicht einmal 120 sekunden waren gespielt , als thomas müller rechts im strafraum ungestört flach nach links passen konnte , wo mandzukic aus kurzer distanz nur noch einschieben musste .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 2 12 2 14 2 16 10 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 17 17,müller können strafraum im rechts können passen ungestört flachen musste mandzukic aus kurz kurz distanz nach links musste,report
46,"nach scharfer freistoßflanke von castro köpfte kießling aus kurzer distanz im luftduell mit knoche und benaglio , die zu spät kamen , ein .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 2 12,1 1 3 3 5 5 7 7 9 9 11 11,kießling einköpfen freistoßflanke einköpfen distanz einköpfen knoche von castro aus kurz im luftduell,report
47,"bentaleb spielt einen sehenswerten steilpass auf goretzka , der von toprak nicht gestellt werden kann und im leverkusener strafraum mit übersicht auf burgstaller querlegt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 4 6 4 8 6 10 8 12 8 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,bentaleb spielen steilpass auf goretzka können werden querlegen strafraum von toprak mit übersicht auf burgstaller,ticker
48,raffael nimmt von links aus fast unmöglichen winkel maß und donnert das spielgerät in den linken winkel .,A0 A1 A0 A1 A0 A1,0 2 2 4 4 3,1 1 3 3 5 5,raffael donnern spielgerät link winkeln in,ticker
49,"vor dem strafraum hat ribery das auge für rafinha , der halbrechts viel platz hat und mit einem platzierten schuss ins linke toreck trifft !",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 6 12 12 14 8 16,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,ribery haben auge der strafraum für rafinha treffen schuss treffen toreck haben platzen haben halbrechts ins link,ticker
50,"nach einem einwurf fällt prödl auf schiebers finte rein , der an der grundlinie richtung fünfer läuft und an mielitz vorbei auf gündogan querlegt , der aus kürzester distanz einnetzt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 7 9 7 11 7 13 7 15 7 17 15 19 17 19,1 1 3 3 5 5 8 8 10 10 12 12 14 14 16 16 18 18 20 20,prödl reinfällen einwurf reinfällen finte finte schiebers schieber laufen grundlinie laufen richtung laufen fünfer querlegen mielitz querlegen gündogan kurz distanz einnetzt,ticker
51,"der ball rutscht durch an den zweiten pfosten , wo kostic aus spitzem winkel unter die latte trifft .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 5 7 5 9 7 11,1 1 3 3 6 6 8 8 10 10,ballen rutschen pfosten der zweit kostic treffen winkeln treffen latte aus spitz,ticker
52,"aus dem nichts kam hoffenheim durch vukcevic zum ausgleich , er nahm das leder nach einem ungezielten hohen ball in den strafraum perfekt an und ließ wiese keine chance .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8 2 10 6 12 6 14,1 1 3 3 5 5 7 7 9 9 11 11 13 13,hoffenheim kommen vukcevic zum ausgleich annehmen ledern lassen weisen lassen chance hoch ballen der strafraum,report
53,badeljs lupfer senkt sich anschließend ins tor .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,badeljs senken sich ins tor,ticker
54,den fälligen elfmeter verwandelte raffael humorlos ins linke eck und sicherte seinem team damit die drei wichtigen punkte .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 6 5 4 9 4 11,1 1 3 3 5 5 7 7 8 8 10 10,raffael verwandeln elfmeter sichern punkten link eck ins mein team punkten drei,report
55,"baumann versucht mit einem bein zu klären , doch so landet die kugel genau auf dem kopf von koo , der mittig einköpft !",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 6 8,1 1 3 3 5 5 7 7,baumann landen kugeln landen kopf von koo von einköpft,ticker
56,die flanke von caiuby verwandelt der mainzer koo im zentrum sträflich ungedeckt zum 2:2 .,A0 A1 A0 A1 A0 A1,0 2 0 4 2 6,1 1 3 3 5 5,caiuby verwandeln flanke verwandeln zentrum verwandeln koo,ticker
57,"jarolim passt zu harnik , der in den sechzehner dribbelt , dort aber an rost scheitert .",A0 A1 A0 A1 A0 A1,0 2 0 4 2 6,1 1 3 3 5 5,jarolim passt harnik scheitern rost dribbeln sechzehner,ticker
58,ein langer ball von albonoz wird klasse von stindl an der strafraumgrenze verarbeitet .,A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,albonoz werden ballen von stindl der strafraumgrenze,ticker
59,"den pass fälscht janker etwas unglücklich in den rückraum ab , wo kroos komplett frei steht und trocken einschiebt .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,janker abfälschen pass der rückraum,ticker
60,"nach dem anschließenden , kurz ausgeführten eckball kommt schweinsteiger mit rechts von der linken seite frei zum flanken .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,schweinsteiger kommen eckball kommen seite kommen flanke mit rechts der link,ticker
61,"wiese und fritz behindern sich gegenseitig und so ist die bahn für choupo-moting frei , der in das leere tor einschieben kann .",A0 A1 A0 A1,0 2 3 2,1 1 4 4,weisen behindern sich fritz behindern,ticker
62,"pinto drosch den ball aus dem zentrum auf die linke seite zu schlaudraff , der im fünfer diouf bediente .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,schlaudraff bedienen fünfer fünfer diouf,report
63,ribery bringt die kugel scharf in die mitte .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,ribery bringen kugeln der mitte,ticker
64,"koo macht es dann technisch klasse , nimmt das leder mit und hebt es über karius hinweg ins linke obere toreck .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 2 2 5 2 7,1 1 3 3 4 4 6 6,koo machen ich hinwegheben obere toreck ins link,ticker
65,"mkhitaryan servierte lewandowski den ball an den linken flügel , dann startete lewandowski eine unwiderstehliche einzelaktion , dribbelte an vier   gegenspielern vorbei nach innen und donnerte das spielgerät aus elf metern zentraler position in die maschen .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 2 12 6 5 10 15 10 17 12 19 12 21 12 23 12 25 19 18,1 1 3 3 5 5 7 7 9 9 11 11 13 13 14 14 16 16 18 18 20 20 22 22 24 24 26 26,mkhitaryan servieren lewandowski servieren ballen link flügel starten einzelaktion dribbeln gegenspieler donnern spielgerät an nach innen gegenspieler vier elf meter meter zentral zentral position der masche aus,report
66,"schieber setzt sich mit einer kurzen drehung gegen papadopoulos durch , gibt scharf und flach von links in die mitte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 6 5 4 11,1 1 3 3 5 5 7 7 9 9 10 10,schieber durchsetzen sich geben mitte kurz drehung gegen papadopoulos mit von links,ticker
67,"flanke von rechts , lewandoski verlängert zu perisic und der legt sich den ball noch etwas zurecht , noveski kommt zu spät und da zappelt der ball schon im linken unteren eck .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 3 7 7 9 7 11 12 7 12 15,1 1 4 4 6 6 8 8 10 10 13 13 14 14,lewandoski verlängern perisic flanke zurechtlegen sich zurechtlegen ballen im link link unter noveski zappeln zappeln eck,ticker
68,"die vorentscheidung , ehe auch auf der anderen seite ein joker wichtig wurde : terrazzino schüttelte träsch ab und schoss aus spitzem winkel ein .",A0 A1 A0 A1 A0 A1,0 2 2 4 5 2,1 1 3 3 6 6,vorentscheidung einschoss winkeln aus spitz terrazzino einschoss,report
69,junuzovic taucht halblinks frei im strafraum auf und will zu petersen querlegen .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,junuzovic auftauchen strafraum tauchen halblinks,ticker
70,kießling verwandelte sicher und nahm die luft aus dem spiel .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,kießling nehmen luft der spielen,report
71,"gebhart mit zug zum tor und dem blick für den mitgelaufenen marica , der aus 14 metern halbrechter position trocken ins linke eck einschießt !",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 2 10 2 12,1 1 3 3 5 5 7 7 9 9 11 11,marica einschießen meter einschießen eck meter 14 meter halbrechter halbrechter position ins link,ticker
72,"ein schöner angriff der bayern : robben passt auf müller , der im sechzehner wunderbar auf götze ablegt .",A0 A1 A0 A1,0 2 0 4,1 1 3 3,müller ablegen sechzehner ablegen götze,ticker
73,"kleindienst wird rechts steil geschickt und sieht petersen in der mitte , der hitz umkurvt und anschließend ins leere tor einschiebt .",A0 A1 A0 A1,0 2 3 5,1 1 4 4,petersen sehen mitte hitz einschieben tor,ticker
74,"lahm fand robben rechts auf der außenbahn , der niederländer umdribbelte pogatetz und balitsch und netzte aus spitzem winkel mit hilfe des linken innenpfostens ein .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 10 12 4 14 4 16 4 18,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 17 17,lahm finden robben einnetzte winkeln einnetzte hilfe auf rechts der außenbahn auf pogatetz aus spitz der link link innenpfostens,report
75,"kiyotake flankt , der nach vorne gepreschte sané setzt sich im luftfduell gegen diekmeier durch und nickt mit hilfe des innenpfostens zum 1:2 ein .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 4 10,1 1 3 3 5 5 7 7 9 9,sané durchsetzen sich einnicken hilfe im luftfduell gegen diekmeier der innenpfostens,ticker
76,"draxler flankt vom linken strafraumeck an den langen pfosten , wo sich der ghanaer im kopfballduell gegen schmitz durchsetzt und gegen die laufrichtung von mielitz in die maschen einnickt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 7 9 7 11 7 13 9 15 9 17 11 19,1 1 3 3 5 5 8 8 10 10 12 12 14 14 16 16 18 18,draxler flanken strafraumeck flanken pfosten vom link boateng durchsetzen sich einnickt laufrichtung einnickt masche im kopfballduell gegen schmitz von mielitz,ticker
77,"james leistet sich im mittelfeld einen technischen fehler , donis setzt zum solo an , lässt drei gegenspieler stehen und legt im sechzehner auf ginczek quer .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 2 10 11 13 6 15 8 17,1 1 3 3 5 5 7 7 9 9 12 12 14 14 16 16,james leisten sich leisten fehler lässt gegenspieler legen sechzehner im mittelfeld donis ansetzen solo gegenspieler drei auf ginczek,ticker
78,"dort hatte podolski aber noch einen pfeil im köcher , schoss nach kluger vorarbeit von peszko sein zweites tor mühelos heraus .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 5 7 5 9,1 1 3 3 6 6 8 8,podolski haben pfeil im köcher tor klug vorarbeit von peszko,report
79,diego bringt den folgenden freistoß mit schnitt in den fünfer .,A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,diego bringen freistoß mit schnitt der fünfer,ticker
80,"doch huntelaar denkt mit und bedient raul , der , leicht im abseits , nur noch den fuß hinhält .",A0 A1,0 2,1 1,huntelaar bedienen raul,ticker
81,hunt verwandelte souverän vom punkt .,A0 A1,0 2,1 1,hunt verwandeln punkt,report
82,dort kommt joker lanig völlig unbedrängt zum kopfball und nickt zum 0:4 ein .,A0 A1,0 2,1 1,lanig kommen kopfball,ticker
83,"joselu spielt zu kadlec , der stark tunnelt und mit dem rechten außenrist hoch ins rechte eck einschießt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 3 7 3 9 7 11 7 13 7 15,1 1 4 4 6 6 8 8 10 10 12 12 14 14,joselu spielen kadlec der tunnelt stark einschießen außenrist einschießen eck außenrist hoch der recht ins rechte,ticker
84,"der ehemalige dortmunder fälschte den ball bei einer ecke äußerst unglücklich zu kehl ab , der aus kürzester distanz locker einschob .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 6 8,1 1 3 3 5 5 7 7,dortmunder abfälschen ballen einer ecke zu kehl einschieben distanz,report
85,vieirinha bedient den eben erst eingewechselten schürrle auf der rechten außenbahn .,A0 A1 A0 A1 A0 A1,0 2 2 4 4 3,1 1 3 3 5 5,vieirinha bedienen schürrle recht außenbahn auf,ticker
86,wenige sekunden nach seiner einwechslung marschierte de jong nach vorne und traf mit einem sehenswerten lupfer aus 17 metern ins rechte eck zum 2:0 .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 6 10 6 12,1 1 3 3 5 5 7 7 9 9 11 11,de marschieren sekunde marschieren einwechslung treffen lupfer treffen eck meter 17 ins rechte,report
87,"bernat war nach stellungsfehler von stenzel links durch und legte in die mitte , wo müller noch verpasste , wagner jedoch zum 0:3 abstaubte .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8,1 1 3 3 5 5 7 7,bernat durchsein stellungsfehler legen mitte sein links von stenzel,report
88,der doppelschlag : eine flanke von links verlängert rode im fünfer in den rückraum .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,rode verlängern flanke von links,ticker
89,der schuss von calhanoglu sauste aber durch die beine von karius und knapp an den mainzer spielern vorbei ins tor .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,calhanoglu sausen schuss sausen bein sausen tor,report
90,"haarsträubender rückpass von serey dié in den lauf von wagner , der von schwaab nicht mehr zu halten ist , frei vor tyton auftaucht und zum 1:0 einschiebt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10 8 2,1 1 3 3 5 5 7 7 9 9 11 11,serey auftauchen haarsträubender auftauchen laufen einschieben 1:0 auftauchen rückpass von wagner auftauchen,ticker
91,"schieber düpierte auf der linken seite tasci , drang in den strafraum ein und bediente in der mitte chandler , der aus kurzer distanz ins leere tor einschob .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8 4 10 10 12 10 14 12 16,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,schieber düpieren seite bedienen mitte der link seite tasci mitte chandler einschieben distanz einschieben tor aus kurz,report
92,"leno konnte eine harmlose flanke von links nicht festhalten , arango stand goldrichtig und staubte dankend ab .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,leno können[neg] flanke von links,report
93,"aranguiz ' zuspiel landet bei brandt , der sich durchtankt und den ball zu chicharito weiterleitet .",A0 A1 A0 A1 A0 A1,0 2 0 4 4 6,1 1 3 3 5 5,brandt durchtankt sich weiterleiten ballen zu chicharito,ticker
94,"sahin brachte einen freistoß in den strafraum , wo sich hummels von wolf weggestohlen hatte und per flugkopfball aus acht metern ins rechte eck einnetzte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 4 6 4 8 4 10 11 13 6 15 6 17,1 1 3 3 5 5 7 7 9 9 12 12 14 14 16 16,sahin bringen freistoß der strafraum einnetzte flugkopfball einnetzte meter einnetzte eck hummels haben sich meter acht ins rechte,report
